no,rateContent,package,quality,price,service,logistics,other,sentiment,brand
1,口感很好，喝起来味道不错，包装也很精美，送人也很大气。,1,1,0,0,0,0,0,bl
2,送朋友的，如果里盒不破就更好了，细节也很重要哦，谢谢！,1,0,0,0,0,0,1,bl
3,茶的味道很纯正，使用方便，包装很好,1,1,0,0,0,0,0,bl
4,茶叶不错，味道挺好的，5分好评,0,1,0,0,0,0,0,bl
5,口感特别好~~！,0,1,0,0,0,0,0,bl
6,东西不错，我很喜欢！,0,0,0,0,0,1,0,bl
7,味道挺好，不错的，喜欢，下次还来买，收藏了咱家！,0,1,0,0,0,0,0,bl
8,口感好，价位很合理,0,1,1,0,0,0,0,bl
9,金花很多，味道也不错。,0,1,0,0,0,0,0,bl
10,茶叶好，如店家描述，泡茶口感细腻，口味留香，冷饮热饮皆可，一壶茶可以喝一天。,0,1,0,0,0,0,0,bl
11,口感不错，很喜欢的味道，满意，下次还会再来,0,1,0,0,0,0,0,bl
12,第二次购买了，还需要说什么吗？买吧亲们！,0,0,0,0,0,1,0,bl
13,非常的好正宗的,0,0,0,0,0,1,0,bl
14,味道很不错呢，和卖家描述的一样，发货也很快，很满意,0,1,0,0,1,0,0,bl
15,宝贝和卖家描述一致，物流超快，谢谢老板的礼品。,0,0,0,0,1,0,0,bl
16,很好的茶，爸爸说比实体店里的没区别！以后就买这家的了！,0,0,0,0,0,1,0,bl
17,这款送给爸爸的，老爸挺喜欢的，很上档次！,0,0,0,0,0,1,0,bl
18,物流很快还送了礼品口感好,0,0,0,0,1,0,0,bl
19,东西收到了，货真价实，是正品哦，喝了一包，还不错，下次还会再来的，好评哦！,0,0,0,0,0,1,0,bl
20,宝贝收到了，是正品，和卖家描述的一致，很好的卖家，下次还会再来的,0,0,0,0,0,1,0,bl
21,亲你的宝贝我收到了,0,0,0,0,0,1,0,bl
22,产品很好，很满意的一次购物。。,0,0,0,0,0,1,0,bl
23,不错，非常满意。,0,0,0,0,0,1,0,bl
24,质量好卖家热情,0,1,0,1,0,0,0,bl
25,送朋友的，包装很精致大气上档次，听朋友说味道不错，满意物流很快。,1,1,0,0,1,0,0,bl
26,只喝了礼品的天尖茶，颜色很好，味不错！其他的还没喝。,0,1,0,0,0,0,0,bl
27,确实很精致，相信一分钱一分货。,0,0,1,0,0,0,0,bl
28,买了送人的，茶叶包装很精致，高端大气上档次，值得购买，以后还回来,1,0,0,0,0,0,0,bl
29,宝贝收到了，泡了一杯喝了，很香，喜欢,0,1,0,0,0,0,0,bl
30,包装很精致，味道好闻，价格实惠，口感不错，给卖家5分，还会来光顾的，,1,1,1,0,0,0,0,bl
31,很不错，准备存些时间再喝，相信口味会更醇厚，感谢赠送的听荷，荷香沁心，香与味都不错，肉眼能见金花。,0,0,0,0,0,1,0,bl
32,味道纯正,0,1,0,0,0,0,0,bl
33,很不错，试用茶很棒，包装也很棒，适合送礼，赞！,1,0,0,0,0,0,0,bl
34,颜色正，味道好，值得推荐购买,0,1,0,0,0,0,0,bl
35,很不错的商品哦，很喜欢。下次还会来的,0,0,0,0,0,1,0,bl
36,收到了,0,0,0,0,0,1,0,bl
37,绝对的好评！很好的卖家，谢谢赠品，茶不错！,0,0,0,0,0,1,0,bl
38,物流挺快的，包装挺精致，卖家态度也不错，很满意,1,0,0,1,1,0,0,bl
39,口感好，味道正，是正品，很喜欢这种清香的味道，包装的也很好，送朋友也,1,1,0,0,0,0,0,bl
40,口感好，是正品，包装很精致，发货速度快，卖家态度好。。,1,1,0,1,1,0,0,bl
41,一般吧，味道比较淡，跟我买的别人家的味道不一样，也不太懂，先喝着吧。,0,1,0,0,0,0,1,bl
42,挺好的，包装好，态度好！,1,0,0,1,0,0,0,bl
43,口感好，闲来无事坐下和朋友喝喝茶，惬意,0,1,0,0,0,0,0,bl
44,味道很不错,0,1,0,0,0,0,0,bl
45,茶叶收到了，刚泡了一壶喝了一下，感觉不错呢，口感很好很醇，值得推荐一下。,0,1,0,0,0,0,0,bl
46,收到喜欢味道很正朋友来喝也说很棒还会再来的,0,1,0,0,0,0,0,bl
47,不错不错，买来送人的，包装挺好的，东西看着也不错，反应好的话再来,1,0,0,0,0,0,0,bl
48,宝贝口感很好，是喜欢的味道，非常正，包装大气上档次，朋友都喜欢,1,1,0,0,0,0,0,bl
49,细节非常到位，送飘逸杯和醒茶袋，物流超快，赞赞赞,0,0,0,0,1,0,0,bl
50,宝贝已经收到了，质量很好，是真品。味道很好，很满意,0,1,0,0,0,0,0,bl
51,茶叶不错，很香，物流很快，下次还来,0,1,0,0,1,0,0,bl
52,口感不过，跟想象中的一样，以后还会在买的，喜欢喜欢,0,0,0,0,0,1,0,bl
53,刚刚收到，给个好评先！喝了感觉还可以，金花还是有的，有点老茶的味道，赠的杯子很美观且实用，喝一段时间会再评的。,0,0,0,0,0,1,0,bl
54,宝贝收到了，口感不错，大爱，非常满意,0,1,0,0,0,0,0,bl
55,尝了下，口感还不错，问起香香的。,0,1,0,0,0,0,0,bl
56,宝贝滋味醇厚，茯茶的菌花香，入口滑顺，货真价实。5分,0,1,0,0,0,0,0,bl
57,宝贝已收到,0,0,0,0,0,1,0,bl
58,很不错的卖家发货很快都,0,0,0,0,1,0,0,bl
59,刚收到还没喝，尝过后再评价,0,0,0,0,0,1,0,bl
60,宝贝已经成功收到，的确不错，包装精美，貌似古代的信件，还有多谢掌柜的送的小样儿茶叶和茶刀。很不错，我很满意，全部五分好评,1,0,0,0,0,0,0,bl
61,包装很好，茶叶挺好喝的，看着也很舒服，快递很给力,1,1,0,0,1,0,0,bl
62,好评！,0,0,0,0,0,1,0,bl
63,发货快、物流给力、卖家态度很好、包装精致、口感不错、打算买点送朋友,1,1,0,1,1,0,0,bl
64,很不错的宝贝，用完了再来,0,0,0,0,0,1,0,bl
65,未尝，过年送人,0,0,0,0,0,1,0,bl
66,我公公喜欢喝茶叶,0,0,0,0,0,1,0,bl
67,宝贝收到了，包装不错，喝了一回口感挺好，是正品，好评！,1,1,0,0,0,0,0,bl
68,宝贝收到啦，买回来送人的，包装很好看，很上档次，物超所值，给好评！,1,0,0,0,0,0,0,bl
69,宝贝收到了，很喜欢，卖家服务态度好，当然是好评了，,0,0,0,1,0,0,0,bl
70,买给爸爸的，他朋友喝了也要让我帮着买呢,0,0,0,0,0,1,0,bl
71,宝贝收到了，很好喝，不错,0,1,0,0,0,0,0,bl
72,不错。不错。,0,0,0,0,0,1,0,bl
73,收到了，嗯，有小贺卡一张?包装很好，有赠品，送的宣传册很好，有一点点瑕疵，就是赠品里发现了一根小头发，不过没关系，总体很满意。,1,0,0,0,0,0,0,bl
74,店家很好，我的茶叶由于快递原因没有寄到，店家给我打了一天电话，我却以为是骚扰电话没接，后来店家给我发信息我才知道茶叶快递单丢失被退了回去。店家说发顺丰并多送部分茶叶为补偿。倍感温馨。茶叶到了试喝一下，不错,0,0,0,1,0,0,0,bl
75,口感好，味道正，是正品，很喜欢这种清香的味道，包装的也很好，送朋友也很上档次,1,1,0,0,0,0,0,bl
76,口感好，是正品，包装很精致，发货速度快，卖家态度好。。,1,1,0,1,1,0,0,bl
77,店家服务态度很好，有问必答！！！,0,0,0,1,0,0,0,bl
78,茶叶收到了，味道很正宗，不错的一款茶叶，喜欢这个味道，喝完了还来这家店！！！！！,0,1,0,0,0,0,0,bl
79,口感好，包装精致，很用心，发货速度很快。,1,1,0,0,1,0,0,bl
80,是好茶，对于常品茶的人来说值得喝一下，还会再光顾,0,1,0,0,0,0,0,bl
81,很喜欢！物流也很快！下次再来！,0,0,0,0,1,0,0,bl
82,茶叶相当的不错，下次还来，,0,0,0,0,0,1,0,bl
83,很好哦，，感觉买到正品了，，口感真的很好，，卖家态度也很好，，以后还会再来的，，,0,1,0,1,0,0,0,bl
84,这款喝茶不错，特别是这家快递，速度相当之快，不错，下次再来买,0,0,0,0,1,0,0,bl
85,货收到了泡上了，味道很香也很上档次，物流也很快，给个好评,0,1,0,0,1,0,0,bl
86,口感好，正品。不错的茶叶。很赞,0,1,0,0,0,0,0,bl
87,宝贝收到了，包装精美，是正品，口感不错，味道很好，,1,1,0,0,0,0,0,bl
88,包装不错，有些小惊喜，送朋友的，朋友说还不错！,1,0,0,0,0,0,0,bl
89,卖家服务非常好,0,0,0,1,0,0,0,bl
90,茶叶很不错，口感很好，气味芬芳，是正品！,0,1,0,0,0,0,0,bl
91,特级茶叶质量好，好喝，发货快赞一个。,0,1,0,0,0,0,0,bl
92,口感很好,0,1,0,0,0,0,0,bl
93,口感不错很喜欢,0,1,0,0,0,0,0,bl
94,很有档次的包装，泡了一杯试了一下，味道很香，满意,1,1,0,0,0,0,0,bl
95,好茶，多谢送的礼品。,0,0,0,0,0,1,0,bl
96,茶叶挺不错的，已经买了四次了，会继续光临,0,1,0,0,0,0,0,bl
97,包装很家,1,0,0,0,0,0,0,bl
98,喝啦才来评价的，口感香醇，色泽很不错呢，而且包装很喜欢，物流也很快，下次还来买。这个套餐价格也很优惠,0,1,1,0,1,0,0,bl
99,口感不错，很好，质量也很好，物流很快，卖家给包装的很好看，是正品,1,1,0,0,1,0,0,bl
100,不错，口味很正,0,1,0,0,0,0,0,bl
101,茶叶收到，打开看了一下，包装严密，口感也很好，很喜欢，不错,1,1,0,0,0,0,0,bl
102,茶叶收到了，包装很好，很仔细，泡了一壶口感不错，香，味道正，很满意，店0,1,1,0,1,1,0,0,bl
