no,rateContent,package,quality,price,service,logistics,other,sentiment,brand
1,??????????????????????????????????????????????????????,1,1,0,0,0,0,0,bl
2,??????????????????????????????????????????????????????,1,0,0,0,0,0,1,bl
3,??????????????????????????????????,1,1,0,0,0,0,0,bl
4,??????????????????????5??????,0,1,0,0,0,0,0,bl
5,??????????~~??,0,1,0,0,0,0,0,bl
6,????????????????????,0,0,0,0,0,1,0,bl
7,????????????????????????????????????????????????,0,1,0,0,0,0,0,bl
8,??????????????????,0,1,1,0,0,0,0,bl
9,??????????????????????,0,1,0,0,0,0,0,bl
10,????????????????????????????????????????????????????????????????????????????,0,1,0,0,0,0,0,bl
11,??????????????????????????????????????????,0,1,0,0,0,0,0,bl
12,????????????????????????????????????????,0,0,0,0,0,1,0,bl
13,??????????????,0,0,0,0,0,1,0,bl
14,??????????????????????????????????????????????????,0,1,0,0,1,0,0,bl
15,??????????????????????????????????????????????,0,0,0,0,1,0,0,bl
16,??????????????????????????????????????????????????????,0,0,0,0,0,1,0,bl
17,????????????????????????????????????????,0,0,0,0,0,1,0,bl
18,????????????????????????,0,0,0,0,1,0,0,bl
19,??????????????????????????????????????????????????????????????????????????,0,0,0,0,0,1,0,bl
20,????????????????????????????????????????????????????????????????,0,0,0,0,0,1,0,bl
21,??????????????????,0,0,0,0,0,1,0,bl
22,??????????????????????????????,0,0,0,0,0,1,0,bl
23,????????????????,0,0,0,0,0,1,0,bl
24,??????????????,0,1,0,1,0,0,0,bl
25,????????????????????????????????????????????????????????????????,1,1,0,0,1,0,0,bl
26,????????????????????????????????????????????????????,0,1,0,0,0,0,0,bl
27,??????????????????????????????,0,0,1,0,0,0,0,bl
28,????????????????????????????????????????????????????????????????,1,0,0,0,0,0,0,bl
29,????????????????????????????????????,0,1,0,0,0,0,0,bl
30,????????????????????????????????????????????????5??????????????????,1,1,1,0,0,0,0,bl
31,??????????????????????????????????????????????????????????????????????????????????????????????????,0,0,0,0,0,1,0,bl
32,????????,0,1,0,0,0,0,0,bl
33,??????????????????????????????????????????????,1,0,0,0,0,0,0,bl
34,????????????????????????????,0,1,0,0,0,0,0,bl
35,????????????????????????????????????,0,0,0,0,0,1,0,bl
36,??????,0,0,0,0,0,1,0,bl
37,??????????????????????????????????????????,0,0,0,0,0,1,0,bl
38,??????????????????????????????????????????????,1,0,0,1,1,0,0,bl
39,????????????????????????????????????????????????????????????????????,1,1,0,0,0,0,0,bl
40,??????????????????????????????????????????????????????,1,1,0,1,1,0,0,bl
41,????????????????????????????????????????????????????????????????????,0,1,0,0,0,0,1,bl
42,????????????????????????,1,0,0,1,0,0,0,bl
43,??????????????????????????????????????,0,1,0,0,0,0,0,bl
44,??????????,0,1,0,0,0,0,0,bl
45,????????????????????????????????????????????????????????????????????????,0,1,0,0,0,0,0,bl
46,??????????????????????????????????????????,0,1,0,0,0,0,0,bl
47,????????????????????????????????????????????????????????????????,1,0,0,0,0,0,0,bl
48,??????????????????????????????????????????????????????????????,1,1,0,0,0,0,0,bl
49,????????????????????????????????????????????????,0,0,0,0,1,0,0,bl
50,??????????????????????????????????????????????????,0,1,0,0,0,0,0,bl
51,??????????????????????????????????,0,1,0,0,1,0,0,bl
52,??????????????????????????????????????????????????,0,1,0,0,0,0,0,bl
53,??????????????????????????????????????????????????????????????????????????????????????????????????????????????,0,1,0,0,0,1,0,bl
54,????????????????????????????????????,0,1,0,0,0,0,0,bl
55,????????????????????????????????,0,1,0,0,0,0,0,bl
56,????????????????????????????????????????????????5??,0,1,0,0,0,0,0,bl
57,??????????,0,0,0,0,0,1,0,bl
58,??????????????????????,0,0,0,0,1,0,0,bl
59,??????????????????????????,0,0,0,0,0,0,0,bl
60,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,1,0,0,0,0,1,0,bl
61,????????????????????????????????????????????????,1,1,0,0,1,0,0,bl
62,??????,0,0,0,0,0,1,0,bl
63,??????????????????????????????????????????????????????????????????,1,1,0,1,1,0,0,bl
64,????????????????????????,0,0,0,0,0,1,0,bl
65,??????????????,0,0,0,0,0,1,0,bl
66,????????????????,0,0,0,0,0,0,0,bl
67,??????????????????????????????????????????????????????,1,1,0,0,0,0,0,bl
68,??????????????????????????????????????????????????????????????????,1,0,0,0,0,0,0,bl
69,??????????????????????????????????????????????????,0,0,0,1,0,1,0,bl
70,??????????????????????????????????????,0,1,0,0,0,0,0,bl
71,????????????????????????,0,1,0,0,0,0,0,bl
72,????????????,0,0,0,0,0,1,0,bl
73,?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,1,0,0,0,0,0,0,bl
74,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0,1,0,1,1,0,0,bl
75,????????????????????????????????????????????????????????????????????????????,1,1,0,0,0,0,0,bl
76,??????????????????????????????????????????????????????,1,1,0,1,1,0,0,bl
77,????????????????????????????????,0,0,0,1,0,0,0,bl
78,????????????????????????????????????????????????????????????????????????????????,0,1,0,0,1,0,0,bl
79,????????????????????????????????????????,1,1,0,0,1,0,0,bl
80,????????????????????????????????????????????????,0,1,0,0,0,0,0,bl
81,??????????????????????????????,0,0,0,0,1,0,0,bl
